Game Title,BoardGameGeek ID,RPGGameGeek ID,Year,Done,Relevant,Fragrance(s) Mentioned,Mechanics,Delicious Distraction,Evil Smells Bad,Good Smells Good,Humans Are Smelly,Pheromones,Signature Scent,Smells Sexy,Smelly Skunk,Sniff Sniff Nom,Stink Bomb,The Nose Knows,They Have the Scent!,Weaponized Stench,You Need a Breath Mint
Ironclaw,,6077,1999,TRUE,TRUE,skunk spray,"Detecting, Emanating, Signaling",,,,,,,,"If a skunk sprays a target, the victim is blinded for three rounds and suffers a d12 penalty to Stealth checks until they successfully wash off the stench.",,,"Several species receive a bonus die to scent-based Observation checks due to their heightened sense of smell. This ability is further enhanced by the Keen Nose gift, which dholes, dogs, and jackals automatically possess.",,,
Magic: The Gathering,,463,1993,TRUE,TRUE,Jace,"Detecting, Identifying",,,,,,,,,,,"Garruk is able to identify the real Jace from a lineup of identical illusory copies by relying on his enhanced sense of smell. Despite Jace meticulously ensuring that his illusions look and sound perfect, down to the rustling of robes and footsteps, only the real Jace carries a scent.",,,
Midgard,23985,,2007,TRUE,TRUE,skunk spray (foul),"Emanating, Damaging",,,,,,,,"The Aniwyenote is a carnivorous werebeast that naturally takes the form of a skunk the size of a grizzly bear, complete with the claws and teeth of a wolverine. It can also transform into an ogre or hill giant. In its skunk form, it has a musk attack so foul that it is capable of killing its victims.",,,,,,
Munchkin,1927,,2001,TRUE,TRUE,rat,"Luring, Eating","The Rat on a Stick is an item that can be used to distract monsters, allowing the player to avoid combat.",,,,,,,,,,,,,
Pathfinder,,1627,2009,TRUE,TRUE,"Xulgaths, Stinking Cloud, goblin snake breath","Buffing, Reflexing",,"Xulgaths, a reptilian race, emit a noxious stench so overpowering that any character entering their vicinity must make a Fortitude save or suffer the sickened condition.",,,,,,,,,,,"The Stinking Cloud spell creates a dense, nauseating fog that forces creatures within its area to make a Fortitude save or become sickened or nauseated, rendering them unable to act effectively.",Goblin snakes have such foul breath (resulting from their diet of carrion and garbage) that simply being near them can induce nausea in other creatures.
Racial Holy War,,7779,2001,TRUE,TRUE,Black persons' body odor,Buffing,,,,,,,,,,,,,(Trigger Warning: Racism.) Black persons' body odor reduce the players' accuracy.,
Rocket Age,,22969,2013,TRUE,TRUE,pheromones,"Buffing, Enchanting, Arousing",,,,,"Certain Martian castes possess modified pheromones that enhance their attractiveness, persuasiveness, or both. The Royal and Priest castes typically exhibit a combination of these traits, while the Courtesan caste appears to have pheromones primarily designed to increase their allure; though their frequent rise to power suggests their influence extends beyond mere attraction.",,"Certain Martian castes possess modified pheromones that enhance their attractiveness, persuasiveness, or both. The Royal and Priest castes typically exhibit a combination of these traits, while the Courtesan caste appears to have pheromones primarily designed to increase their allure; though their frequent rise to power suggests their influence extends beyond mere attraction.",,,,,,,
ShadowRun,,917,1989,TRUE,TRUE,"pheromones, stink","Enchanting, Buffing, Punishing, Detecting",,,,,"The Tailored Pheromones bioware, introduced in the Shadowtech supplement, alters the recipient's sweat glands to release pheromones that influence normal humans and metahumans, including elves, orks, trolls, and dwarves. This enhancement provides a bonus to Charisma and Social Skill checks.",,,,,"The Stink effect creates an overpowering odor that disrupts those within its area of influence, making it more difficult for them to succeed in their actions.","Adepts are individuals with magical potential who channel their abilities into enhancing their physical and sensory capabilities instead of casting spells or summoning spirits. Among their options is the Enhanced Sense power, which includes five different sensory enhancements, allowing them to refine their perception to superhuman levels.",,,
Talislanta,,1422,1987,TRUE,TRUE,pheromones,"Enchanting, Depriving",,,,,"Batrean women naturally emit pheromones that are highly persuasive, bordering on mind control. While most Batrean women are benevolent, those wary of their influence can counter the effect by wearing nose plugs.",,,,,,,,,
Traveller,,423,1977,TRUE,TRUE,human body odor,"Repelling, Signaling, Eating",,,,"The K'Kree, also known as Centaurs, are strict vegetarians with an extreme aversion to the scent of meat-eaters. According to The Journal of the Travellers' Aid Society (Issue 10), humans meeting K'Kree must adopt a vegetarian diet for several days beforehand to cleanse their bodies of meat odors, as the K'Kree find the smell intolerable.",,,,,,,,,,
Tyranny of Dragons (D&D),,,2014,TRUE,TRUE,meat,"Luring, Eating","Players can distract ambush drakes in the Cult of the Dragon’s camp by throwing slabs of meat at them. A nearby cavern, repurposed as a butchery, provides a convenient source of meat for this tactic.",,,,,,,,,,,,,
"Warhammer 40,000",,,1987,TRUE,TRUE,"Chaos (sickly, cloying, candy floss, rotting meat), Nurgles (rancid), Tau Ethereal pheromones","Signaling, Enchanting, Localizing",,"Chaos is often described as having a sickly, cloying odor, reminiscent of a mix between candy floss and rotting meat. This is especially true for anything associated with Nurgle, the Chaos God of disease and decay. His daemons and mortal servants are bloated with rot and sickness, exuding putrid stenches composed of every rancid bodily odor known to humanity and some known only to the Xenos.",,,One theory behind the Tau Ethereals' absolute command over their subordinates is that they secrete pheromones capable of influencing the minds of other Tau.,,,,,,"Karanak, the Hound of Vengeance, is a three-headed Flesh Hound of Khorne, unleashed upon those who have incurred the Blood God's wrath. Each of Karanak's heads possesses a unique tracking ability: one follows his prey's scent across space, another across time, and the third can even sniff out his victim’s thoughts.",,,
Werewolf: The Apocalypse,,,1992,TRUE,TRUE,Wyrm,Detecting,,"Gaia's Garou Theurges can detect the presence of the Wyrm using the Sense Wyrm Gift, which many describe as perceiving an odor. This is exemplified by Mari Cabra, who once complained that a bane-infested Umbral location stank of the Wyrm.",,,,,,,,,,,,
Werewolf: The Forsaken,,3207,2005,TRUE,TRUE,,"Transacting, Detecting, Signaling, Localizing, Eating",,,,,,,,,,,"Werewolves possess supernatural tracking abilities, allowing them to follow scents with exceptional precision. Certain Rituals enable them to share an acquired scent among their pack mates, while specific Gifts grant them the ability to detect hidden truths, such as smelling lies.","Werewolves have an innate ability to track people by scent and, with the right Gifts, can even track spirits. A specific ritual allows one werewolf to share the scent of someone whose blood they've tasted by cutting their tongue and letting other werewolves lick the knife.",,
