Game Title,Designer(s),Moby ID,IGDB ID,Year,PEGI Rating,ESRB Rating,Age Rating,Done,Relevant,Fragrance(s) Mentioned,Mechanics,Notes,Anticipatory Breath Spray,Clothespin Nose Plug,Delicious Distraction,Evil Smells Bad,Fartillery,Follow Your Nose,Good Smells Good,Humans Are Smelly,I Love the Smell of X in the Morning,Pepper Sneeze,Perfumigation,Perverted Sniffing,Pheromones,Signature Scent,Smells Sexy,Smells of Death,Smelly Feet Gag,Smelly Skunk,Sneeze of Doom,Sniff Sniff Nom,Stink Bomb,Stink Snub,Stinky Flower,The Nose Knows,They Have the Scent!,Visible Odor,Weaponized Stench,You Need a Breath Mint,Other (added by Jas)
Brok the Investigator,,190229,141057,2022,,Teen,,TRUE,TRUE,R.J.'s breath,"Judging, Signaling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"During Chapter 3, you can provoke R.J. into a fight by repeatedly insulting him. One of Brok's insults includes a snide comment about R.J.'s terrible breath, sarcastically offering to buy him a toothbrush. This jab not only mocks R.J.'s personal hygiene but also implies his financial struggles.",
Bug Fables: The Everlasting Sapling,,137581,119190,2019,3,Everyone,,TRUE,TRUE,pheromones,"Emanating, Reflexing, Enchanting, Buffing",,,,,,,,,,,,,,"During an optional quest, Team Snakemouth returns stolen silk to Kali, who rewards them by spraying healing pheromones. Unfortunately, Vi is allergic and sneezes, breaking Kali's prized vase. Furious, Kali retaliates by using mind-controlling pheromones on Kabbu, forcing him into a boss fight against his teammates. Kabbu remains controlled (and temporarily strengthened) until Kali, his controller, is sufficiently damaged.",,,,,,"During an optional quest, Team Snakemouth returns stolen silk to Kali, who rewards them by spraying healing pheromones. Unfortunately, Vi is allergic and sneezes, breaking Kali's prized vase. Furious, Kali retaliates by using mind-controlling pheromones on Kabbu, forcing him into a boss fight against his teammates. Kabbu remains controlled (and temporarily strengthened) until Kali, his controller, is sufficiently damaged.",,,,,,,,,,
Bug!,,8437,19735,1995,,Kids to Adults,,TRUE,TRUE,fart,"Emanating, Damaging, Pranking",,,,,,"The swamp level features a stink bug enemy wearing a gas mask. When approached, it turns around and farts directly in Bug’s face.",,,,,,,,,,,,,,,,,,,,,,,,
Bully,,25437,2720,2006,16,Teen,,TRUE,TRUE,stink bomb,,,,,,,,,,,,,,,,,,,,,,,The protagonist can use filled chemical beakers as stink bombs.,,,,,,,,
BurgerTime,,467,199462,1982,3,Everyone,,TRUE,TRUE,pepper,"Emanating, Reflexing, Buffing",,,,,,,,,,,"Players collect pepper doses as a defensive tool. When used, the pepper temporarily stuns enemies chasing the player, presumably by triggering sneezing fits that paralyze them momentarily.",,,,,,,,,,,,,,,,,,,
Caves of Qud,,99752,24054,2015,,,,TRUE,TRUE,Honey Skunk spray,"Emanating, Damaging",,,,,,,,,,,,,,,,,,,"Honey Skunks produce emissions that are far more than just stinky—they are corrosive, capable of melting people, wildlife, and even the surrounding terrain.",,,,,,,,,,,
Cereal Soup,,,99128,2015,,,,TRUE,TRUE,"hidden treasures, players (e.g., lavendar, existential crisis)","Signaling, Identifying, Localizing, Collecting, Composing, Memorizing","Sort of two interactions in one (finding/memorizing odors, customizing a character's odor)",,,,,,,,,,,,,,,,,,,,,,,,"Players controlling meerkat, canine, or feline characters can use their sense of smell to interact with the environment and other players. They can sniff out and dig up hidden treasures scattered throughout the world. Additionally, players can use their nose to sniff other characters and learn their ""scent,"" a trait customized in the Character Customization menu. These scents range from conventional ones like lavender flowers to unusual or humorous ones like ""existential crisis.""",,,,,
Chō Aniki: Kyūkyoku Muteki Ginga Saikyō Otoko,,22560,95478,1995,,,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,"The titular Final Boss, ""The Ultimate Invincible Strongest Man in the Galaxy,"" uses an unconventional weapon: he shoots homing gas clouds from his Speedo-clad backside.",,,,,,,,,,,,,,,,,,,,,,,,
Chrono Trigger,,4501,1802,1995,12,Everyone,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,Dalton's battle-ending move is a fart.,,,,,,,,,,,,,,,,,,,,,,,,
Conker's Bad Fur Day,,3622,1286,2001,,Mature,,TRUE,TRUE,pepper,"Emanating, Reflexing",,,,,,,,,,,Conker utilizes pepper to provoke a sneeze from the Uga Deity.,,,,,,,,,,,,,,,,,,,
Danganronpa Another Episode: Ultra Despair Girls,,73373,9708,2014,16,Mature,,TRUE,TRUE,pepper,Emanating,,,,,,,,,,,"After a battle with Genocide Jack, the Servant throws pepper in Toko's face. This forces her to sneeze, triggering her personality switch back into Toko, which significantly impacts the scene and her ability to fight.",,,,,,,,,,,,,,,,,,,
Dark Souls,,53619,2155,2011,16,Mature,,TRUE,TRUE,Frampt's breath (feces),Signaling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Primordial Serpent Kingseeker Frampt is infamous for his terrible breath, as noted by the Crestfallen Warrior. This becomes especially relevant when the player allows Frampt to transport them by carrying them in his mouth. The justification for his foul stench is that players can offer him Dung Pies in exchange for a small number of souls, implying he consumes literal waste from travelers.",
Death Road to Canada,,79880,21634,2016,16,Mature,,TRUE,TRUE,spicy chips,"Emanating, Reflexing, Punishing, Buffing",,,,,,,,,,,"Players encounter an event where a character feels the urge to sneeze. One option allows them to open a bag of spicy crisps, take a deep whiff, and sneeze directly into it—only to then eat the contaminated chips. While this may seem unpleasant, it results in a morale boost for the character.",,,,,,,,,"An event occurs where a survivor feels an impending sneeze. If the sneeze is suppressed, the annoyance of the lost sneeze causes a morale decrease—double if the character has a negative attitude. Since low morale can trigger a Despair Event that dooms the party, players must find a way to force the sneeze to prevent this consequence.",,,,,,,,,,
Deus Ex: Human Revolution,,52641,43,2011,18,Mature,,TRUE,TRUE,pheromones,"Emanating, Luring, Buffing",,,,,,,,,,,,,,"The upgraded CASIE (Computer-Assisted Social Interaction Enhancer) augmentation allows Adam Jensen to emit pheromones that influence NPCs during conversations. By selecting the correct pheromone response based on an NPC's personality type, Adam can persuade or manipulate them more effectively, unlocking new dialogue options and outcomes.",,,,,,,,,,,,,,,,
Devil May Cry 3: Dante's Awakening,,18067,136,2005,16,Mature,,TRUE,TRUE,Dante's scent,"Navigating, Localizing, Misdirecting, Identifying",,,,,,,,,,,,,,,,,,,,Dante's sneeze in the Mission 2 cinematic of Devil May Cry 3: Dante's Awakening brings down the entire front of his shop. Whether it was a gale force sneeze or a normal one that was  just too much for the fragilized structure to take is anyone's guess.,,,,,"The demon Beowulf tracks Dante by scent, detecting his strong resemblance to Sparda. After being blinded in battle, Beowulf retreats but continues following the scent trail—only to mistakenly find and confront Vergil instead.",,,,,
Devil May Cry 4,,32479,112,2008,16,Mature,,TRUE,TRUE,Dagon's scent,"Identifying, Misdirecting",,,,,,,,,,,,,,,,,,,,,,,,,"Dante detects the demon Dagon’s presence from a great distance due to its strong odor. However, rather than reacting seriously, he plays along with Dagon’s deception for his own amusement.",,,,,
Diablo III,,56120,120,2012,16,Mature,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,"Ghom, the demon lord of gluttony, uses a noxious gas cloud as one of his primary attacks. Upon defeat, Ghom's corpse collapses with a prolonged, rude noise, releasing yet more gas as a final insult to the player.",,,,,,,,,,,,,,,,,,,,,,,,
Disco Elysium,,136046,26472,2019,18,Mature,,TRUE,TRUE,pheromones,,,,,,,,,,,,,,,"Morell the Cryptozoologist carries a spray-can of pheromones to attract the elusive Insulindian Phasmid, and offers to spray the Detective if he's enthusiastic about finding it. Accepting the offer is crucial to interacting with the Phasmid at the end of the game; an un-pheromoned Harry will just make it flee.",,,,,,,,,,,,,,,,
Discworld Noir,,1411,8293,1999,,Kids to Adults,,TRUE,TRUE,,"Localizing, Identifying, Navigating, Collecting",Multiple interactions,,,,,,,,,,,,,,,,,,,,,,,,"After protagonist Lewton becomes a werewolf, he gains the ability to see scents as colored hazes in the air. These scents can be 'collected' like inventory items and matched against previously encountered scents to track characters, uncover clues, and solve mysteries. The mechanic serves as a core investigative tool, allowing players to follow scent trails to progress in the game.","After protagonist Lewton becomes a werewolf, he gains the ability to see scents as colored hazes in the air. These scents can be 'collected' like inventory items and matched against previously encountered scents to track characters, uncover clues, and solve mysteries. The mechanic serves as a core investigative tool, allowing players to follow scent trails to progress in the game.","After protagonist Lewton becomes a werewolf, he gains the ability to see scents as colored hazes in the air. These scents can be 'collected' like inventory items and matched against previously encountered scents to track characters, uncover clues, and solve mysteries. The mechanic serves as a core investigative tool, allowing players to follow scent trails to progress in the game.",,,
Disgaea 4,,61540,7298,2011,,Teen,,TRUE,TRUE,fart (firey),"Emanating, Damaging",,,,,,"The Dragon's first skill, Break Wind, is triggered by a stray feather that sends it into a sneezing fit. However, instead of fire coming from its mouth, the flames erupt from its butt, roasting the unfortunate target.",,,,,,,,,,,,,,,,,,,,,,,,
Dishonored,,58218,533,2012,18,Mature,,TRUE,TRUE,corpse,"Luring, Eating",,,,"Players can distract swarms of aggressive rats by throwing corpses into their path. The rats will prioritize feeding on the body, allowing the player to pass safely or avoid being attacked until they finish consuming their meal.",,,,,,,,,,,,,,,,,,,,,,,,,,
Disney's Animated Storybook: Winnie the Pooh and the Honey Tree,,108724,,1995,,Early Childhood,,TRUE,TRUE,honeysuckle flower,"Emanating, Reflexing",,,,,,,,,,,,,,,,,,,,"Pooh's sneeze, triggered by the scent of honeysuckle flowers, becomes a powerful force that completely wrecks Rabbit's house.",,,,,,,,,,
Dog's Life,,11786,22251,2003,3,Teen,,TRUE,TRUE,,"Navigating, Collecting",,,,,,,,,,,,,,,,,,,,,,,,,,,"Players control Jake, a dog who can use his sense of smell to track different scents. Each type of smell is represented by a unique color, and odors appear as a colored smoke in the environment. Players are to collect these smells.",,,
Doom 64,,5195,3471,1997,,Mature,,TRUE,TRUE,death and demon carcass,Experiencing,,,,,"The level In the Void is introduced with atmospheric text that describes the area as smelling like ""death and demon carcass.""",,,,,,,,,,,,,,,,,,,,,,,,,
Dota 2,,62741,2963,2013,,,,TRUE,TRUE,rot,"Emanating, Punishing, Damaging",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pudge the Butcher's ""Rot"" ability generates a toxic cloud of noxious fumes around him, dealing damage over time to nearby enemies while also harming himself.",,
Dragon Age: Inquisition,,70317,1887,2014,18,Mature,,TRUE,TRUE,"Commander Cullen (elderflower and oakmoss), Reaver","Signaling, Arousing",,,,,,,,,,,,"In the multiplayer mode, one character expresses distrust toward Commander Cullen, stating he ""smells like elderflower and oakmoss,"" implying that his scent is too refined or calculated to be fully trusted.",,,,if the Inquisitor chooses the Reaver specialization—requiring them to drink dragon's blood—Iron Bull enthusiastically comments on how their scent has become intensely appealing to him.,,,,,,,,,,,,,,
Dragon Creek,,165369,142675,2021,,,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,"Dragons can learn a move called Putrid Wind, which releases a foul-smelling gust that both damages and poisons the target behind them.",,,,,,,,,,,,,,,,,,,,,,,,
Dragon Gem Online,,,,2005,,,,TRUE,TRUE,fart,"Emanating, Punishing",,,,,,The Thief class has the ability to stun enemies using their gasses.,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Saga (Dragonica),,,15888,2009,,,,TRUE,TRUE,fart,"Emanating, Buffing, Damaging",,,,,,"In the second Alpha, Thieves had a fart-based attack that could poison enemies. However, by the Beta version, this ability was removed from the Thief class and reassigned to the Battle Mage class.",,,,,,,,,,,,,,,,,,,,,,,,
Dungeon Keeper (series),,156,35,1997,,Mature,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,Bile Demons utilize deadly poison gas farts as an offensive attack.,,,,,,,,,,,,,,,,,,,,,,,,
Dunjonquest: Temple of Apshai,,23891,68778,1979,,,,TRUE,TRUE,giant rats (musty),Experiencing,,,,,,,,,,,,,,,Giant rats are noted for their distinctive musty smell.,,,,,,,,,,,,,,,
Dynamite Cop,,4496,36737,1999,,Teen,,TRUE,TRUE,pepper,"Emanating, Buffing, Damaging",,,,,,,,,,,"Players can wield a pepper shaker as a weapon. When shaken, it releases a cloud of pepper that causes enemies to sneeze, leaving them vulnerable to attacks. Strangely, the pepper deals as much damage as a kick and can knock out enemies entirely.",,,,,,,,,,,,,,,,,,,
"Ed, Edd n Eddy: The Mis-Edventures",,23747,2722,2005,3,Everyone,,TRUE,TRUE,stink bomb,"Emanating, Luring, Buffing",,,,,,,,,,,,,,,,,,,,,,Eddy can throw stink bombs to stun or distract enemies.,,,,,,,,
Epic Battle Fantasy 4,,82719,16867,2014,,,,TRUE,TRUE,"rafflesia, belch","Emanating, Damaging, Experiencing, Buffing",,,,,,,,,,,,,,,,,,,,,,,,"The boss of Lankyroot Jungle, a giant Man-Eating Plant named Rafflesia, emits a horrible stench similar to its real-life counterpart. It uses a belch attack to stagger or poison the party.",,,,,,
Etrian Odyssey Nexus,,121016,57012,2018,,,,TRUE,TRUE,"Spraying Skunk (foul), Leopard Skunk (pleasant)","Emanating, Damaging, Experiencing, Misdirecting",,,,,,,,,,,,,,,,,,,"The Spraying Skunk monster from Etrian Odyssey Nexus lives up to its name, attacking players with a foul-smelling mist. Averted by its cousin, the Leopard Skunk, whose spray is said to be quite pleasant, if not still incredibly poisonous.",,,,,,,,,,,
Evolve,,71064,3770,2015,16,Mature,,TRUE,TRUE,"animals, hunters, monsters, equipment","Navigating, Localizing",,,,,,,,,,,,,,,,,,,,,,,,,"The monsters can smell all nearby animals, hunters, and equipment, allowing them to track or avoid opponents.","Both monsters and hunters utilize scent-based tracking mechanics. The monsters can smell all nearby animals, hunters, and equipment, allowing them to track or avoid opponents. Conversely, Daisy, the hunters’ pet trapjaw, can follow the monster’s scent, even when it sneaks, helping the team stay on its trail. However, because the monsters move quickly, hunters must anticipate their path rather than rely solely on scent tracking.",,,,
Fable III,,48869,504,2010,16,Mature,,TRUE,TRUE,fart,"Emanating, Buffing, Punishing",,,,,,"Flatulence is a social interaction rather than an attack, but it is notably powerful. When the player performs the fart expression, NPCs react dramatically—some are briefly blown back, while others pass out from the smell.",,,,,,,,,,,,,,,,,,,,,,,,
Far Cry: Instincts,,19775,5831,2005,16,Mature,,TRUE,TRUE,enemies,"Navigating, Localizing",,,,,,,,,,,,,,,,,,,,,,,,,"Jack Carver gains ""feral"" superpowers, one of which is the ability to track enemies by scent.",,"Smell is visualized as a colored aura and trail, allowing Jack Carver to track enemies by their lingering scent.",,,
Farnham Fables,,207015,24531,2016,,,,TRUE,TRUE,Gloria,"Transacting, Localizing",,,,,,,,,,,,,,,,,,,,,,,,,,"The princes search for Gloria, a lost girl in the woods, using a fox's sense of smell to track her down. After Prince Philip treats a sick fox, he gives it Gloria’s skirt, which they found in the forest. The fox then follows her scent trail to a hidden clearing, leading the princes to her location.",,,,
Fate/Grand Order,,118221,24493,2015,,,,TRUE,TRUE,"Siegried, Altera, robot (rust and oil), Greek blood, Ruggiero, Apollo, Athena","Identifying, Signaling, Discriminating, Matching",,,,,,,,,,,,,,,,,,,,,,,,,"Several characters possess an extraordinary sense of smell, which plays a crucial role in their interactions and judgments: Brynhild attacks Altera after detecting Siegfried’s scent, mistakenly assuming she had been with her lover, Sigurd. Thomas Edison identifies a robot by smelling rust and oil. Penthesilea can sniff out Achilles or anyone with Greek blood. Bradamente recognizes her husband Ruggiero’s scent on the Hippogriff. Asclepius detects that Apollo is possessing Paris through his scent. Kriemhild smells Siegfried’s scent on Sieg, since he inherited Siegfried’s heart in Fate/Apocrypha, and treats him as her son. Medusa Saber detects Athena’s scent on Odysseus.",,,,,
Final Fantasy (series),,,,,,,,TRUE,TRUE,bad breath,"Emanating, Damaging, Buffing",,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Morbol (also called Malboro in some entries) is a recurring enemy infamous for its signature attack, Bad Breath. This attack releases a noxious gas that inflicts multiple debilitating status effects on all nearby characters. The specific ailments vary by game but often include poison, sleep, silence, confusion, petrification, and more.",,
Final Fantasy V,,4876,288349,1992,,Teen,,TRUE,TRUE,skunk spray (noxious),"Emanating, Damaging, Buffing",,,,,,,,,,,,,,,,,,,"The Ranger's ""Animal"" ability can summon a skunk as one of its random animal helpers. When summoned, the skunk sprays a noxious gas across the battlefield, attempting to poison and blind all enemies.",,,,,,,,,,,
Final Fantasy VII: Rebirth,,218917,133236,2024,16,Teen,,TRUE,TRUE,,"Identifying, Localizing",,,,,,,,,,,,,,,,,,,,,,,,,"Red XIII possesses an extremely keen sense of smell, which is 7,000 times stronger than a human’s. Several sidequests require players to utilize Red XIII’s olfactory abilities to track down objectives, such as finding missing persons or locating specific scents. He states that a single sniff of a person’s clothing is enough for him to track their location.",,,,,
Final Fantasy VIII,,1149,203538,1999,16,Teen,,TRUE,TRUE,"failed fish, fart","Localizing, Navigating, Emanating, Buffing",,,,,,"A species of flying bugs can use a skill called ""Fart"", which inflicts the Berserk status on opponents.",,,,,,,,,,,,,,,,,,,,"The party must track down Raijin in Balamb. Raijin's failed attempt at cooking fish produces a strong odor, which sticks to the party members after they enter the kitchen. This scent then alerts a guard dog, who follows the trail and leads the party directly to Raijin's hiding spot.",,,,
Flower Knight Girl,,,109196,2015,,,,TRUE,TRUE,Chestnut Vine,"Buffing, Signaling",,,,,,,,,,,,,"Rafflesia frequently sniffs Chestnut Vine whenever she gets the chance. Though this behavior is meant to restore her strength after being weakened by pest poisoning, it remains an invasive experience for Chestnut Vine.",,,,,,,,,,,,,,,,,
Fortnite,,104208,1905,2017,12,Teen,,TRUE,TRUE,gas grenade,"Emanating, Damaging, Signaling",,,,,,,,,,,,,,,,,,,,,,"Gas grenades are throwable items that release a toxic yellow-brown cloud, dealing area-of-effect damage over time to players caught within it. The killfeed humorously acknowledges this mechanic with the message: ""X dealt it and Y smelt it.""",,,,,,,,
Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch,,5157,3746,1999,,,,TRUE,TRUE,pepper,"Emanating, Reflexing",,,,,,,,,,,"Pepper is a recurring interactive item used for both comedic sneezing reactions and solving a puzzle. Clicking on the spice dispensers can cause Luther to sneeze violently, blowing himself around, while Freddi also sneezes if she attempts to open the shaker herself. The pepper plays a key role in the game’s progression, as it must be used on a blowfish near the mine, triggering a powerful sneeze that clears the way forward.",,,,,,,,,,,,,,,,,,,
FTL: Faster Than Light,,57826,3075,2012,12,,,TRUE,TRUE,pheromones,"Emanating, Buffing",,,,,,,,,,,,,,"The Mantis cruiser Gila Monster and its variations come equipped with Mantis Pheromones, an augment that increases the movement speed of the ship's crew.",,,,,,,,,,,,,,,,
Gears of War 2,,38697,548,2008,18,Mature,,TRUE,TRUE,Giant Worm interior (terrible),Experiencing,,,,,"The interior of the Giant Worm is described as having a terrible stench, emphasizing the grotesque and unsettling nature of the environment.",,,,,,,,,,,,,,,,,,,,,,,,,
Geneforge (series),,8386,8362,2001,,,,TRUE,TRUE,"Spawners (vinegar), Rothgroths (rot and decay)","Signaling, Navigating",,,,,,,,,,,,,,,"Certain enemies are foreshadowed by distinct smells. The presence of Spawners is preceded by the scent of vinegar, acting as an early olfactory warning for players. Similarly, Rothgroths, acidic creatures that secrete corrosive fluids, are described as having a stench of decay, as their own acid eats away at their rotting flesh.",,,,,,,,,,,,,,,
Ghost Master,,9400,726,2003,7,Teen,,TRUE,TRUE,,"Emanating, Buffing, Damaging",,,,,,All gas- and smell-related powers are activated with the sound of farting. These powers range from mildly unnerving victims to making them physically ill.,,,,,,,,,,,,,,,,,,,,,,,,
Ginger: Beyond the Crystal,,84561,25113,2016,7,Everyone,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,Some pig-like enemies attack Ginger by farting.,,,,,,,,,,,,,,,,,,,,,,,,
Gladius,,11835,3932,2003,12,Teen,,TRUE,TRUE,fart,"Emanating, Damaging",,,,,,"The Samnites can learn a skill called ""Befoul Area,"" which releases a noxious gas. This attack can become a Game-Breaker when combined with the Executioner's Sword, which instantly kills damaged enemies—resulting in a unit that can defeat multiple foes just by farting on them.",,,,,,,,,,,,,,,,,,,,,,,,
Golden Sun (series),,5413,1172,2001,,Everyone,,TRUE,TRUE,"stoves, ovens","Experiencing, Signaling",,,,"Stoves and ovens in various towns can be examined for short, appetizing descriptions of their contents. Each oven is unique, featuring different food-related descriptions that immerse the player in the setting. Some descriptions also include reaction lines from the silent protagonist, implying they are tempted by the food—such as a shrimp dish in chili sauce making their mouth water.",,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Sun: Dark Dawn,,50278,1174,2010,12,Everyone,,TRUE,TRUE,,"Localizing, Navigating",,,,,,,,,,,,,,,,,,,,,,,,,"Sveta, a beastman character, can use her Track Psynergy to detect and follow scent trails. These trails appear visually as white vapor close to the ground, guiding the player toward objectives.",,"Sveta, a beastman character, can use her Track Psynergy to detect and follow scent trails. These trails appear visually as white vapor close to the ground, guiding the player toward objectives.",,,
