Game Title,Set Title,Year,Format,Moby ID,BoardGameGeek ID,IGDB ID,Designer(s),Publisher,Description,Mechanics,Facilitator Present,Facilitator participates in game?,Players Min,Players Max,Smells Min,Smells Max,Smells,Example Smells,Smell Specificity (Swappability),Specificity Note,Smell Count Flexibility,Flexibility Note,Cost,Currency,Target Audience,Descriptive Source,citationKey,Tags,Variant,URLs,Target Species,Realized or Description?,Complexity_1_Light,Complexity_2_MediumLight,Complexity_3_Medium,Complexity_4_MediumHeavy,Complexity_5_Heavy,Images,Notes
Cooking Up,,2008,Digital,,,,"Takamichi Nakamoto, Shigeki Otaguro, Masashi Kinoshita, Masahiko Nagahama, Keito Ohinishi, Taro Ishida",,"Players virtually cook a curry by sequentially adding ingredients (e.g., butter, meat, onion, garlic, spices) into a virtual pan. Each addition releases corresponding aromas, which blend and intensify in real-time, providing synchronized visual, auditory, and olfactory feedback.",Experiencing,None,,1,1,7,7,,"butter, meat, onion, garlic, wine, curry, spices​",Medium,Scents are components of a curry,Fully Flexible,,,,,Nakamoto et al. 2008,,"Research, Digital game, Experimental game, Simulation game",,http://ieeexplore.ieee.org/document/4418754/,Human,,,,,,,CookingUp_2008,
Cric Crac Croc (Par l'odeur alléchés…),,2001,Analog,,,,"Véronique Debroise, Max Gerchambeau",SentoSphère,"Players move their pawns around a board that represents the homes of six animals. Each animal (rabbit, monkey, parrot, squirrel, mouse, and bear) has a set of three favorite foods, each encapsulated in a scented capsule. When a player lands on a specific animal’s house, they must select a capsule and identify the scent by smell alone. If they correctly identify a preferred food item for that animal, they keep it and may continue playing. If they identify the smell but it does not match the animal, they must return it. If they misidentify the smell entirely, they replace the capsule randomly. Once a player has collected all the correct foods for their chosen animal, they must return to that animal's home. From there, they can choose to ""visit"" another animal’s home, including animals already claimed by other players. If the visited animal’s complete set of three food capsules has already been collected by another player, the visiting player can attempt to steal a food capsule by identifying its scent. If they correctly identify the smell, they take the capsule and add it to their own collection. The game continues until all the scented capsules have been collected, and the winner is the player with the fullest food stash. ","Collecting, Transacting, Identifying, Matching",None,,2,4,18,18,"carrot, herb, hay, banana, peanut, coconut, mango, orange, lychi, hazelnut, mushroom, pinecone, book, cheese, biscuit, honey, raspberry, blackcurrant",,High,"The scents are thematically associated to the six animals in the game (rabbit, monkey, peroquet, squirrel, mouse, bear).",Fully Flexible,,,,3 - 9 years old,,,"Commercially available, Tabletop game",,https://boardgamegeek.com/boardgame/117806/cric-crac-croc,Human,,,,,,,CricCracCroc_2001,
Dark Chocolate (from Chocolate Seductions),Chocolate Seductions,2017,Analog,,,,,Khepher Games,"A playful and intimate sensory game for couples. One partner places chocolate on their body in secret. In total darkness, the other partner uses scent and guided hints to locate and lick off the chocolate.","Localizing, Eating, Arousing",Partner,FALSE,2,2,1,1,chocolate,,High,Game depends on the recognizable scent of chocolate and needs to be edible,Expandable Only,,,,18+,Chocolate Seductions,,"Commercially available, Intimacy game",,https://khepergames.com/product/chocolate-seductions/,Human,,,,,,,ChocolateSeductions_2017,
DarkCon with smell,,2007,Digital,,,,"R. Tortell, D. P. Luigi, A. Dozois, S. Bouchard, J. F. Morie, D. Ilan",,"In the ""DarkCon"" modification with smell, players navigate a virtual environment designed to be emotionally evocative, such as a swampy culvert, while wearing a custom scent collar. The collar releases environment-appropriate scents like murky or smoky smells to enhance immersion and recall. Players explore and interact with the virtual setting, with olfactory cues integrated into the gameplay to improve memory retention of the environment.",Experiencing,None,,1,1,1,,,swampy culvert,High,Scents are closely tied to specific environments and emotional tones; swapping them out could reduce narrative coherence or emotional impact.,Fully Flexible,,,,,Tortell et al. 2007,,"Research, Experimental game, Game variant",,http://link.springer.com/10.1007/s10055-006-0056-0,Human,,,,,,,DarkCon_2007,
Dinner: The Board Game,,2010,Analog,,,,Jenn Sandercock,,"In ""Dinner: The Board Game,"" players compete in sensory and trivia challenges related to food and cooking while preparing a meal. The game includes tasting, smelling, touching, and identifying ingredients, along with food trivia. Players also participate in timed and competitive cook-offs using key ingredients chosen for each course (entrées, mains, desserts, and drinks). The game progresses as players move tokens across a board, with the end goal being to complete and enjoy a meal together.","Eating, Identifying, Composing",None,,2,6,4,,,,Low,"The smells likely correspond to specific food items, but substitutions could be made based on availability.",Fully Flexible,"The number and type of smells can vary based on what's chosen for each course, making it adaptable.",,,,,,"Tabletop game, Cooking game, Trivia game, Social game, Party game",,http://web.archive.org/web/20160506105411/http://jennsand.com/writing/gameIdeas/idea37.php,Human,,,,,,,N.A.,
Drop Me,,2007,Digital,,,,"Stephen Boyd Davis, Gordon Davies, Ruba Haddad, Mei-Kei Lai",,"Players place olfactory traces to mark locations in a maze, using smell to navigate and discover the way out.","Navigating, Emanating",None,,1,1,3,3,"lavender, jasmine, citrus",,None,,Fully Flexible,,,,,Davis et al. 2007,,"Research, Experimental game",,https://link.springer.com/content/pdf/10.1007/978-1-84628-664-3_3.pdf,Human,,,,,,,N.A.,
"Eat Your Words, Groucho Marx!",,2025,Analog,,,,Jas Brooks,,"""Eat Your Words, Groucho Marx!"" is a social deduction and olfactory game where players try to identify the real ""Groucho Marx"" based on their descriptions of a smell. Each round, one player is secretly chosen as the real Groucho, who must bluff by pretending to smell a vial without actually doing so. All other players genuinely smell the vial and describe it using edible word cards. Players then discuss and vote on who they think the real Groucho is.","Bluffing, Labeling, Eating, Punishing, Negotiating",Player,TRUE,3,9,1,,,,None,,Fully Flexible,,,,12+,,,"Party game, Social deduction game, Conversational game",,,Human,,,,,,,EatYourWordsGrouchoMarx_2025,
Eau Doom,,2019,Analog,,,,ele edreva,,"A cooperative, speculative fiction board game set in a future where plants have nearly lost their scents due to pollution. Players role-play scientists, identifying and preserving remaining plant aromas through scent vials, blotter strips, and collaborative deduction before they disappear forever.","Identifying, Collecting",None,,3,7,12,12,,,None,The game was designed to allow any readily available odors to be used.,Fixed,,,,,,,"Art, Tabletop game, Cooperative game, Speculative fiction game",,https://web.archive.org/web/20200930072151/https://eleonora.xyz/eau-doom,Human,,,,,,,EauDoom_2019,
Enology odour game,,2021,Mixed,,,,"Raffaele Di Fuccio, Giusi Antonia Toto, Michela Ponticorvo, Anna Parola, Davide Marocco, Orazio Miglino",,"In the MERGO enology game, players work with jars containing different wine aromas, each tagged with RFID technology. The objective is to sniff the scent, place the jar on an interactive table, and answer the scent-identification tasks presented by the game. The game's software tracks players' progress and provides immediate feedback on correct or incorrect identifications. Players move through a series of olfactory challenges designed to improve their wine-tasting skills by recognizing specific aromas related to wine production.",Identifying,None,,1,1,,,,,Medium,Needs to be wine-related scents.,Fully Flexible,,,,,Di Fuccio et al. 2021,,"Research, Educational game, Professional training game",,https://ceur-ws.org/Vol-3025/paper17.pdf,Human,,,,,,,EnologyOdourGame_2021,
Essential Oil Matching Game,,2023,Analog,,,,AromaTools,,"""Essential Oil Matching Game"" is a memory-style game where players match scent samples to corresponding names or images of essential oils. Small vials containing essential oils are used as one half of each pair, and players must use their sense of smell to find the correct match among face-down cards. When a scent sample is flipped, the player sniffs it and tries to locate its matching card: either a written oil name, an image of the source plant, or a card describing its properties.","Identifying, Memorizing, Associating",Host,TRUE,2,,2,,,,None,,Fully Flexible,,,,,,,"Educational game, Party game, Marketing game, Informal game",,https://aromatools.com/pages/essential-oil-games,Human,,,,,,,N.A.,
Essential Oil Sample Game,,2023,Analog,,,,AromaTools,,"A scented reinterpretation of ""Tic-Tac-Toe,"" this game is designed as a playful and aromatic centerpiece for essential oil gatherings. Ten essential oil vials (five capped in white, five in black) serve as game pieces on a 3x3 tile board. Players take turns placing their vial on the board, aiming for three in a row. The true olfactory experience begins afterward: guests are invited to smell each oil used in the game, reflect on their scent impressions, and learn about the benefits of each oil from a host or facilitator. Ideal for casual play and conversation-starters at essential oil parties.","Identifying, Racing",None,,2,,5,,,,None,,Fully Flexible,,,,,,,"Tabletop game, Game variant, Educational game, Party game, Marketing game, Informal game",,https://aromatools.com/pages/essential-oil-games,Human,,,,,,,N.A.,
Exerscent,,2021,Mixed,,,,"Simon Niedenthal, Johannes Nilsson, Teodor Jernsäther, David Cuartielles, Maria Larsson, Jonas Olofsson",,"In the Exerscent game, players use scent vials to identify specific odors in a computerized assessment tool designed for olfactory training. The gameplay involves selecting a scent vial, sniffing it, and placing it on a platform reader equipped with RFID technology, which communicates with a game engine to display multiple-choice scent identification options on the screen. Players then choose the correct scent from these options. Immediate feedback is provided on whether their choice was correct or incorrect. The game continues until all trials in the session are completed, and a final score is presented based on correct answers. The physical layout of the game board helps guide the players, separating unsniffed vials from already-sniffed ones to maintain an organized flow.",Identifying,None,,1,1,1,,,,None,Designed to be flexible.,Expandable Only,Designed to be flexible.,,,,Niedenthal et al. 2021,,"Research, Smell Training, Niedenthal-related",,http://journals.sagepub.com/doi/10.1177/20416695211023953,Human,,,,,,,Exerscent_2021,
Exploring the Sense of Smell,,2012,Analog,,,,Allison Sonnier,Learn ~ Play ~ Imagine,"""Exploring the Sense of Smell"" is a simple olfactory guessing activity designed for young children to explore their sense of smell. In the game, the child is blindfolded and asked to identify the scents of six familiar, food-based items: lemon slice, coffee grounds, black pepper, onions, cilantro, and cinnamon (each placed in small containers). After the initial smelling round, the child is invited to visually inspect and taste the items.","Identifying, Eating",Parent,FALSE,2,,6,6,,"lemon slice, coffee grounds, black pepper, onions, cilantro, cinnamon",Low,Needs to be food-based (edible).,Fully Flexible,,,,,,,"Educational game, Informal game",,http://www.learnplayimagine.com/2012/09/exploring-sense-of-smell-blindfolded.html?m=1,Human,,,,,,,ExploringTheSenseOfSmell_2012,
Finder,,2021,Digital,,,,Martin Wibom,,"In ""Finder,"" the smell component is integrated into a memory game where players interact with scent as part of the recall process. During the ""remembering phase,"" players view objects associated with specific scents on the screen and inhale a corresponding smell from a material source, helping them form a memory of the item locations. The objects disappear after a short time, and players stop smelling while attempting to click on the boxes where the scent-related objects were previously located. This start-and-stop smelling mechanic is designed to synchronize olfactory engagement with visual memory tasks.","Memorizing, Detecting, Identifying",None,,1,1,2,,,,None,,Expandable Only,,,,,Wibom 2021,,"Research, Smell Training, Niedenthal-related",,http://urn.kb.se/resolve?urn=urn:nbn:se:mau:diva-45926,Human,,,,,,,Finder_2021,
First person shooter game,,2015,Digital,,,,"Saad Hameed Abid, Zhiyong Li, Renfa Li, Jumana Waleed",,"The game described in the article involves using a heat-based scent delivery system to enhance the experience of playing a first-person shooter (FPS) game. Players engage with the virtual environment where their actions, such as shooting a gun or approaching objects, trigger the release of specific odors related to the scene. For example, when a player fires a gun, the system generates a burnt gunpowder scent, while other areas in the game might produce smells like smoke, incense, wood milling, or melting plastic, creating a multi-sensory experience. The game uses a laser diode to heat materials that release the corresponding odors.","Navigating, Experiencing",None,,1,1,6,6,"burnt gunpowder, smoke, incense, wood milling, melting plastic, cigarettes",,High,"Scents are precisely matched to in-game contexts and actions, making substitution difficult without affecting narrative or sensory congruence.",Expandable Only,,,,,Abid et al. 2015,,"Research, Digital, Experimental game",,https://gvpress.com/journals/IJMUE/vol10_no5/31.pdf,Human,Description/Partial,,,,,,FPSgame_2015,
Flappy Lemon,,2021,Digital,,,,Weipeng Ma,,"In ""Flappy Lemon,"" players control a flying lemon, navigating it through tubes that appear at random positions and distances. The game incorporates both visual and olfactory feedback. As players progress, a warning informs them that in-game wind is approaching, which will affect the lemon's flight controls. Simultaneously, the game's odor release device activates, emitting a lemon scent to enhance the immersive experience. Players feel the wind's impact both within the game and through external sensory feedback, providing a multi-sensory challenge. The game records player performance and reactions, which are later analyzed via a player experience survey.",Experiencing,None,,1,1,1,1,lemon,,Exact,,Fixed,,,,,Ma 2021,,Research,,https://repository.library.northeastern.edu/files/neu:bz617n030,Human,,,,,,,FlappyLemon_2021,
Flavour Roulette,,2019,Analog,,,,Jenn Sandercock,,"""Flavour Roulette"" is a game of edible deception. One bite on the plate is secretly ""bad,"" the rest are tasty. Each player eats a morsel, keeping a straight face whether it's pleasant or revolting. After everyone's turn, players vote on who they believe got the bad bite. Points are awarded for successful deception or deduction.","Eating, Signaling, Labeling, Judging, Negotiating, Bluffing",Host,TRUE,3,5,,,,,Medium,Foods need to look the same (at least in exterior) and be edible.,Fully Flexible,,,,5+,,,"Edible game, Social deduction game, Party game",,Edible Games,Human,,,,,,,,
Follow Me,,2007,Digital,,,,"Stephen Boyd Davis, Gordon Davies, Ruba Haddad, Mei-Kei Lai",,"A continuation of ""Drop Me,"" players retrace their paths through a maze by following the scent markers they previously placed, relying on their sense of smell for navigation.",Navigating,None,,1,1,3,3,"lavender, jasmine, citrus",,None,,Fully Flexible,,,,,Davis et al. 2007,,Research,,https://link.springer.com/content/pdf/10.1007/978-1-84628-664-3_3.pdf,Human,,,,,,,N.A.,
Food Practice Shooter,,2014,Mixed,,,,"Yuichi Bannai, Takayuki Kosaka, Naomi Aiba",,"Players wear a chewing sensor on their head and hold a gun-shaped controller to battle virtual enemies on a screen. The key mechanic links real-world eating actions to in-game effects: the player must eat actual food (in this case, vegetable-based cookies) to reload their weapon. Each type of food corresponds to a different type of bullet, and the chewing duration determines how many bullets are loaded.","Eating, Associating, Matching",None,,1,1,3,3,"carrot cookie, bell peper cookie, tomato cookie",,Low,Needs to be edibles.,Fully Flexible,,,,,,,"Edible game, Biofeedback game, Nutrition game, Experimental game, Research, Digital game, Serious game",,https://doi.org/10.1007/978-3-319-07731-4_14,Human,,,,,,,FoodPracticeShooter_2014,
Fragra,,2004,Digital,,,,"Arito Mochizuki, Takashi Amada, Sayuri Sawa, Tadayuki Takeda, Shogo Motoyashiki, Kazuhiro Kohyama, Masataka Imura, Kunihiro Chihara",,"""Fragra"" is a visual-olfactory VR game where players interact with a 3D virtual forest to explore the relationship between scent and vision. Players pick and smell virtual food items from a mysterious tree, distinguishing between ""honest"" items (matching visual and olfactory cues) and deceptive ones (mismatched scent and appearance).","Identifying, Discriminating",None,,1,1,4,4,"banana, bread",,Low,Needs to be fruit.,Fully Flexible,,,,,Mochizuki et al. 2004,,"Research, Experimental game",,https://dl-acm-org.proxy.uchicago.edu/doi/10.1145/1186223.1186377,Human,,,,,,,Fragra_2004,
Fragrance Channel,,2018,Digital,,,,"Alexandra Covaci, Gheorghita Ghinea, Chang-Hsin Lin, Shu-Hsien Huang, Ju-Ling Shih",,"In the ""Fragrance Channel"" game, players take on the role of European explorers during the Age of Discovery, navigating and trading spices such as cinnamon, cardamom, and cassia. The game combines elements of strategy and chance, allowing players to customize their countries and navies based on historical characteristics. Each player is assigned a country with specific colonies and naval strengths, and they must navigate the map, trade, and occasionally battle other ships to collect spices. The game is divided into two stages: (1) Configuration and Customization Stage: Players choose their country and build a navy system for spice trading, strategizing based on historical strengths and weaknesses. Task cards are drawn to determine which spices they need to collect. (2) Trading and Travel Stage: Players sail trade routes, buy and sell goods, and solve riddles about the highest-valued spice. They can attack other players to steal spices or refuel and trade at ports. The goal is to trade spices efficiently and outcompete other players, with the game ending after 30 minutes. The winner is the player who has successfully traded the most valuable spices while navigating challenges.","Transacting, Identifying",None,,2,4,6,6,"cocoa bean, coffee bean, ginger, pepper, cinnamon, clove",,High,Smells are tied to historical spice types central to the game's theme and cannot be easily substituted without altering the educational/historical context.,Fully Flexible,More or less spices could be included.,,,,Covaci et al. 2018,,"Research, Experimental game, Serious game, Trading game, Educational game",,https://link.springer.com/article/10.1007/s11042-017-5459-2,Human,,,,,,,FragranceChannel_2018,
Fragrances,,1990,Analog,,17281,,Véronique Debroise,SentoSphère,"""FRAGRANCES"" is an educational board game centered around perfume blending and scent identification. Designed for families, players take turns using 24 scent bottles to create and identify fragrances, competing to match or recognize specific scents from the provided perfume cards.","Identifying, Labeling, Matching, Composing",None,,2,6,32,32,,,None,,Fully Flexible,,,,12+ years,Sentosphère,,Commercially available,,https://boardgamegeek.com/boardgame/17281/fragrances,Human,,1,0,0,0,0,Fragrances_1990,
Fragrant dragonfly,,2019,Analog,,,,Mariko Suzuki,,"This is a scented paper dragonfly designed to descend in a spinning motion. The wings are curved in a specific way to create the fluttering fall, while also being infused with fragrance. As the dragonfly falls, the motion helps disperse the scent, allowing users to experience both the visual movement and the aroma simultaneously.",Experiencing,None,,1,1,4,4,"yuzu, cypress, cinnamon, cherry",,None,,Fully Flexible,,,,,Ueda 2020,,Art,,Toy,Human,,,,,,,,
